Name,Scientific.Name,locality,Latitude - processed,Longitude - processed,Coordinate Uncertainty in Metres - parsed,IMCRA Region - parsed,State - parsed,Year - parsed,coordinate Uncertainty In Meters,Data Resource ID
"Caulastrea furcata Dana, 1846",Caulastrea.furcata,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Coeloseris mayeri Vaughan, 1918",Coeloseris.mayeri,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Cyphastrea microphthalma (Lamarck, 1816)",Cyphastrea.microphthalma,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Cyphastrea serailia (ForskÇè_l, 1775)",Cyphastrea.serailia,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Echinophyllia aspera (Ellis & Solander, 1786)",Echinophyllia.aspera,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Echinopora gemmacea (Lamarck, 1816)",Echinopora.gemmacea,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Echinopora horrida Dana, 1846",Echinopora.horrida,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Echinopora lamellosa (Esper, 1795)",Echinopora.lamellosa,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
Euphyllia (Fimbriaphyllia) ancora,Euphyllia.ancora,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Favia favus (ForskÇè_l, 1775)",Favia.favus,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Favia matthaii Vaughan, 1918",Favia.matthaii,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Favia pallida (Dana, 1846)",Favia.pallida,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Favia stelligera (Dana, 1846)",Favia.stelligera,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Favites chinensis (Verrill, 1866)",Favites.chinensis,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Favites flexuosa (Dana, 1846)",Favites.flexuosa,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Favites pentagona (Esper, 1794)",Favites.pentagona,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Fungia (Ctenactis) echinata. (Pallas, 1766)",Fungia.scruposa,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Fungia (Fungia) Fungites (Linnaeus, 1758)",Fungia.fungites,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Fungia (Pleuractis) paumotensis Stutchbury, 1833",Fungia.paumotensis,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Fungia (Verrillofungia) concinna Verrill, 1864",Fungia.concinna,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Fungia (Verrillofungia) repanda Dana, 1846",Fungia.repanda,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Galaxea fascicularis (Linnaeus, 1767)",Galaxea.fascicularis,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1979,2000,dr684
"Goniastrea edwardsi Chevalier, 1971",Goniastrea.edwardsi,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Goniastrea pectinata (Ehrenberg, 1834)",Goniastrea.pectinata,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Goniopora minor Crossland, 1952",Goniopora.minor,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1981,2000,dr684
"Goniopora tenuidens Quelch, 1886",Goniopora.tenuidens,"Sue Island, NW corner",-10.2,142.81,300,Northeast Shelf Transition,Queensland,1981,300,dr684
"Hydnophora exesa (Pallas, 1766)",Hydnophora.exesa,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Hydnophora rigida (Dana, 1846)",Hydnophora.rigida,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Leptastrea purpurea (Dana, 1846)",Leptastrea.purpurea,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
"Montastrea valenciennesi (Edwards & Haime, 1848)",Montastrea.valenciennesi,"Sue Island, SW and NW sides",-10.2,142.81,2000,Northeast Shelf Transition,Queensland,1976,2000,dr684
