trait,master_species,value
substrate_attachment,Crispatotrochus.foxi,attached
substrate_attachment,Crispatotrochus.galapagensis,attached
substrate_attachment,Crispatotrochus.inornatus,attached
substrate_attachment,Crispatotrochus.irregularis,attached
substrate_attachment,Crispatotrochus.niinoi,attached
substrate_attachment,Crispatotrochus.rubescens,attached
substrate_attachment,Crispatotrochus.rugosus,attached
substrate_attachment,Crispatotrochus.squiresi,attached
substrate_attachment,Crispatotrochus.woodsi,attached
substrate_attachment,Ctenactis.albitentaculata,unattached
substrate_attachment,Ctenactis.crassa,unattached
substrate_attachment,Ctenactis.echinata,unattached
substrate_attachment,Ctenella.chagius,attached
substrate_attachment,Culicia.australiensis,attached
substrate_attachment,Culicia.cuticulata,attached
substrate_attachment,Culicia.excavata,attached
substrate_attachment,Culicia.fragilis,attached
substrate_attachment,Culicia.hoffmeisteri,attached
substrate_attachment,Culicia.quinaria,attached
substrate_attachment,Culicia.rubeola,attached
substrate_attachment,Culicia.smithii,attached
substrate_attachment,Culicia.stellata,attached
substrate_attachment,Culicia.subaustraliensis,attached
substrate_attachment,Culicia.tenellanatalensis,attached
substrate_attachment,Culicia.tenellatenella,attached
substrate_attachment,Culicia.tenuisepes,attached
substrate_attachment,Culicia.verreauxi,attached
substrate_attachment,Cyathelia.axillaris,attached
substrate_attachment,Cyathotrochus.herdmani,unattached
substrate_attachment,Cyathotrochus.nascornatus,unattached
substrate_attachment,Cyathotrochus.pileus,unattached
substrate_attachment,Cycloseris.colini,unattached
substrate_attachment,Cycloseris.erosa,unattached
substrate_attachment,Cycloseris.patelliformis,unattached
substrate_attachment,Cynarina.lacrymalis,attached
substrate_attachment,Cyphastrea.agassizi,attached
substrate_attachment,Cyphastrea.chalcidicum,attached
substrate_attachment,Cyphastrea.decadia,attached
substrate_attachment,Cyphastrea.hexasepta,attached
substrate_attachment,Cyphastrea.japonica,attached
substrate_attachment,Cyphastrea.microphthalma,attached
substrate_attachment,Cyphastrea.ocellina,attached
substrate_attachment,Cyphastrea.serailia,attached
substrate_attachment,Dactylotrochus.cervicornis,attached
substrate_attachment,Dasmosmilia.lymani,unattached
substrate_attachment,Dasmosmilia.valida,unattached
substrate_attachment,Dasmosmilia.variegata,unattached
substrate_attachment,Deltocyathus.agassizii,unattached
substrate_attachment,Deltocyathus.andamanicus,unattached
substrate_attachment,Deltocyathus.calcar,unattached
substrate_attachment,Deltocyathus.cameratus,unattached
substrate_attachment,Deltocyathus.corrugatus,unattached
substrate_attachment,Deltocyathus.crassiseptum,unattached
substrate_attachment,Deltocyathus.eccentricus,unattached
substrate_attachment,Deltocyathus.halianthus,unattached
substrate_attachment,Deltocyathus.heteroclitus,unattached
substrate_attachment,Deltocyathus.italicus,unattached
substrate_attachment,Deltocyathus.magnificus,unattached
substrate_attachment,Deltocyathus.moseleyi,unattached
substrate_attachment,Deltocyathus.murrayi,unattached
substrate_attachment,Deltocyathus.nascornatus,unattached
substrate_attachment,Deltocyathus.ornatus,unattached
substrate_attachment,Deltocyathus.parvulus,unattached
substrate_attachment,Deltocyathus.philippinensis,unattached
substrate_attachment,Deltocyathus.pourtalesi,unattached
substrate_attachment,Deltocyathus.rotulus,unattached
substrate_attachment,Deltocyathus.sarsi,unattached
substrate_attachment,Deltocyathus.stella,unattached
substrate_attachment,Deltocyathus.suluensis,unattached
substrate_attachment,Deltocyathus.taiwanicus,unattached
substrate_attachment,Deltocyathus.varians,unattached
